id,NO DE OBRA PICASO / OFICIO DE APROBACIÓN / NÚMERO DE CONTRATO,SIGLAS DEPENDENCIA O ENTIDAD EJECUTORA,TIPO,NOMBRE DEL PROGRAMA PRESUPUESTARIO,NOMBRE DE LA OBRA/ACCIÓN/PROYECTO,FF FEDERAL,FUENTE FEDERAL,IMPORTE (Aprobado),FF ESTATAL,FUENTE ESTATAL,IMPORTE,FF RECURSOS PROPIOS,RECURSOS PROPIOS,IMPORTE,FF MUNICIPAL,FUENTE MUNICIPAL,IMPORTE,IMPORTE CONTRATADO,IMPORTE  EJERCIDO,LOCALIDAD DE LA OBRA,MUNICIPIO DE LA OBRA,"FECHA 
INICIO","FECHA
FIN",fecha_c,fecha_u_m
143,2018-00886,SEDESOQ,APOYO,,HOMBRO CON HOMBRO PROYECTOS PRODUCTIVOS CONVOCATORIA  OSC EJERCICIO 2018,,,,F18,GEQ PA 2018," $1,300,000.00 ",,,,,,,," $770,147.00 ",ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
144,2018-00913,SEDESOQ,APOYO,,HOMBRO CON HOMBRO PROYECTOS PRODUCTIVOS CONVOCATORIA GENERAL 2 EJERCICIO 2018,,,,F18,GEQ PA 2018," $700,000.00 ",,,,,,,," $700,000.00 ",ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
145,2018-00094,SEDIF,APOYO,PROGRAMAS ALIMENTARIOS,PROGRAMAS ALIMENTARIOS,51O,FAM SOCIAL 2018," $144,560,541.00 ",,,,,,,,,,," $144,560,541.00 ",ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
146,2018-00063,SEDESOQ,APOYO,,HOMBRO CON HOMBRO POR TU VIVIENDA CUARTO ADICIONAL,,,,F18,GEQ PA 2018," $37,434,138.00 ",,,,,,,," $37,230,618.10 ",ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
147,2018-00064,SEDESOQ,APOYO,,HOMBRO CON HOMBRO POR TU VIVIENDA REHABILITACIÓN,,,,F18,GEQ PA 2018," $31,271,635.00 ",,,,,,,," $31,271,411.97 ",ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
148,2018-00065,SEDESOQ,APOYO,,HOMBRO CON HOMBRO POR TU VIVIENDA CUARTO ADULTO MAYOR,,,,F18,GEQ PA 2018," $43,056,000.00 ",,,,,,,," $42,560,944.27 ",ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
149,032-CEA-PCEA-DDHC-17-OP-32-EL,CEA,OBRA,,REEMPLAZO DE REDES DE ALCANTARILLADO (MORELOS Y SAN JOSE) EN LA COL. SANTA MARÍA MAGDALENA (FASE),,,,,,,,PECEA,,,,," $8,256,442.69 ",,SANTA MARÍA MAGDALENA,QUERÉTARO,08/01/2018,06/07/2018,08/06/2019,
150,033-CEA-APAUR-DDHC-17-OP-33-FL,CEA,OBRA,,MEJORAMIENTO CONDUCTIVO DEL RÍO QUERÉTARODEL TRAMO AV. UNIVERSIDAD A LA BIFURCACIÓN DEL DREN LAS ADJUNTAS,,,,,,,,PECEA,,,,," $99,152,204.74 ",,COL. LA SIERRITA,QUERÉTARO,20/01/2018,30/09/2018,08/06/2019,
151,01-CEA-PCEA-DDHC-18-OP-01-EL,CEA,OBRA,,REEMPLAZO DE REDES DE ALCANTARILLADO SANITARIO EN 4 CALLES DE LA COLONIA SANTA MARÍA MAGDALENA,,,,,,,,PECEA,,,,," $6,202,575.23 ",,SANTA MARÍA MAGDALENA,QUERÉTARO,19/02/2018,05/08/2018,08/06/2019,
152,07-CEA-GEQ-DDHC-18-OP-07-EL,CEA,OBRA,,REHABILITACIÓN DE LINEA DE CONDUCCIÓN LA ZORRA - NOGALES,,,,,,,,PECEA,,,,," $2,244,246.57 ",,LA ZORRA,COLÓN,05/03/2018,02/07/2018,08/06/2019,
153,06/-GEQ-2018,CEA,OBRA,,REHABILITACIÓN Y REUBICACION DE DE LINEA DE CONDUCCIÓN DE POZOS 1 Y 2 A TANQUE DE DISTRIBUCIÓN LA CRUZ,,,,,,,,PECEA,,,,," $8,255,156.16 ",,SANTA ROSA JAUREGUI,QUERÉTARO,12/03/2018,10/07/2018,08/06/2019,
154,49-CEA-PCEA-DDHC--18-OP-49-EL,CEA,OBRA,,REEMPLAZO DE RED DE DRENAJE SANITARIO,,,,,,,,PECEA,,,,," $1,102,274.94 ",,VILLAS DEL SUR,QUERÉTARO,17/10/2018,25/12/2018,08/06/2019,
155,58-CEA-GEQ-DDHC-18-OP-58-EL,CEA,OBRA,,INCORPORACON DEL POZO ATONGO II,,,,,,,,PECEA,,,,," $3,627,000.00 ",,ATONGO,EL MARQUÉS,,,08/06/2019,
156,Acuerdo CT/27-02-18/01,QRONOS,OBRA,,CONSTRUCCIÓN Y REGENERACIÓN DE ESPACIOS DEPORTIVOS EN EL PARQUE PÚBLICO LAS PEÑITAS ,,,,,,,4,VENTA DE BIENES INMUEBLES,"$2,652,609.74",,,," $2,530,199.52 ",,LAS PEÑAS,QUERÉTARO,27/08/2018,27/01/2019,08/06/2019,
157,Acuerdo CT/20-09-18/01,QRONOS,OBRA,,"CONSTRUCCIÓN DEL AUDITORIO LA CATEDRAL DEL HUAPANGO, PROF CRESENCIANO MENDEZ BARAJAS",,,,,,,4,VENTA DE BIENES INMUEBLES,"$31,999,943.00",,,," $30,106,613.67 ",,CABECERA MUNICIPAL,SAN JOAQUÍN,29/10/2018,28/03/2018,08/06/2019,
158,2018-00658,P.M. HUIMILPAN,OBRA,,"URBANIZACIÓN DE CALLES, SAN PEDRO NORTE-SAN PEDRITO",26O,FAFEF 2018," $1,000,000.00 ",,,,,,,,,," $981,673.61 "," $981,652.60 ",SAN PEDRO NORTE,HUIMILPAN,08/06/2018,30/09/2018,08/06/2019,
159,Requisición 212518,SEDESOQ,APOYO,,APOYO A DAMNIFICADOS POR LLUVIAS,,,,E02,,,,,,,,," $2,704,657.04 ",,AMAZCALA,EL MARQUÉS,,,08/06/2019,
160,2018-01128,SEDESOQ,OBRA,3 X 1 PARA MIGRANTES,3X1 PARA MIGRANTES EJERCICIO 2018,,3 X 1 PARA MIGRANTES," $3,912,500.00 ",92P,ISN 2018-2," $3,912,500.00 ",,,,,Desconocida," $3,912,500.00 ",," $3,912,500.00 ",ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
161,001AMP43,SEDATU,APOYO,PROGRAMA DE APOYO A LA VIVIENDA,AMPLIACION DE VIVIENDA RECAMARA ADICIONAL,,AMPLIACION DE VIVIENDA RECAMARA ADICIONAL," $1,222,490.00 ",,,,,,,,,,," $1,222,490.00 ",PORTEZUELO,CADEREYTA,25/09/2018,25/05/2019,08/06/2019,
162,001AMP59,SEDATU,APOYO,PROGRAMA DE APOYO A LA VIVIENDA,AMPLIACION DE VIVIENDA,,AMPLIACION DE VIVIENDA," $1,677,370.00 ",,,,,,,,,,," $1,677,370.00 ",EL PARAISO,EL MARQUÉS,23/10/2018,24/06/2018,08/06/2019,
163,2017-01028,SEDEQ,APOYO,PROGRAMA NACIONAL DE BECAS - COORDINACIÓN NACIONAL DE BECAS DE EDUCACIÓN SUPERIOR MANUTENCIÓN,BECAS DE EDUCACIÓN SUPERIOR MANUTENCIÓN,,PROGRAMA NACIONAL DE BECAS - COORDINACIÓN NACIONAL DE BECAS DE EDUCACIÓN SUPERIOR MANUTENCIÓN," $39,300,000.00 ",FO1,GEQ PA 2017," $39,300,000.00 ",,,,,,,," $39,300,000.00 ",ALCANCE ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
164,212.000.00/182/2018,SEDIF,APOYO,PROGRAMA DE DESARROLLO COMUNITARIO COMUNIDAD DIFERENTE,SUBPROGRAMA COMUNIDAD DIFERENTE,96O,PROGRAMA DE DESARROLLO COMUNITARIO COMUNIDAD DIFERENTE," $1,616,000.00 ",,,,,,,,,,,,ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
165,212.000.00/181/2018,SEDIF,APOYO,PROGRAMA DE DESARROLLO COMUNITARIO COMUNIDAD DIFERENTE,SUBPROGRAMA DE INFRAESTRUCTURA REHABILITACIÓN Y/O EQUIPAMIENTO DE ESPACIOS ALIMENTARIOS,95O,PROGRAMA DE DESARROLLO COMUNITARIO COMUNIDAD DIFERENTE," $1,010,000.00 ",,,,,,,,,,," $1,007,827.36 ",ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
166,220111DC01,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $29,846.00 ",,,,,,,,Desconocido," $29,846.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
167,220111DC02,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $28,061.00 ",,,,,,,,Desconocido," $28,061.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
168,220111DC03,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $24,798.00 ",,,,,,,,Desconocido," $24,798.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
169,220111DC04,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $7,755.00 ",,,,,,,,Desconocido," $7,755.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
170,220111DC05,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
171,220111DC06,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
172,220111DC07,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $29,846.00 ",,,,,,,,Desconocido," $29,846.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
173,220111DC08,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $24,799.00 ",,,,,,,,Desconocido," $24,799.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
174,220111DC09,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $7,755.00 ",,,,,,,,Desconocido," $7,755.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
175,220111DC10,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
176,220111DC11,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,AMAZCALA,EL MARQUÉS,,,08/06/2019,
177,220111DC12,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT, $-   ,,,,,,,,Desconocido, $-   ,,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
178,220111DC13,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT, $-   ,,,,,,,,Desconocido, $-   ,,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
179,220111DC14,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT, $-   ,,,,,,,,Desconocido, $-   ,,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
180,220111DC15,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $7,755.00 ",,,,,,,,Desconocido," $7,755.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
181,220111DC16,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
182,220111DC17,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
183,220111DC18,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $7,755.00 ",,,,,,,,Desconocido," $7,755.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
184,220111DC19,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
185,220111DC20,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
186,220111DC21,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
187,220111DC22,P.M. EL MARQ.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $5,663.00 ",,,,,,,,Desconocido," $5,663.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
188,220111ME001,P.M. EL MARQ.,OBRA,PROGRAMA DE INFRAESTRUCTURA HABITAT,URBANIZACIÓN DE CALLE YUCATÁN,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $1,345,386.00 ",,,,,,,,Desconocido," $1,345,386.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
189,220111ME002,P.M. EL MARQ.,OBRA,PROGRAMA DE INFRAESTRUCTURA HABITAT,URBANIZACIÓN DE CALLE JALISCO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $2,929,614.00 ",,,,,,,,Desconocido," $2,929,614.00 ",,,SAN ISIDRO MIRANDA,EL MARQUÉS,,,08/06/2019,
190,220161DC001,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $11,794.00 ",,,,,,,,Desconocido," $11,794.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
191,220161DC002,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $11,794.00 ",,,,,,,,Desconocido," $11,794.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
192,220161DC003,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT, $-   ,,,,,,,,Desconocido, $-   ,,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
193,220161DC004,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $22,020.00 ",,,,,,,,Desconocido," $22,020.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
194,220161DC005,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $20,234.00 ",,,,,,,,Desconocido," $20,234.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
195,220161DC006,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $20,234.00 ",,,,,,,,Desconocido," $20,234.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
196,220161DC007,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $20,234.00 ",,,,,,,,Desconocido," $20,234.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
197,220161DC008,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $20,234.00 ",,,,,,,,Desconocido," $20,234.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
198,220161DC009,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $20,233.00 ",,,,,,,,Desconocido," $20,233.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
199,220161DC010,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $11,794.00 ",,,,,,,,Desconocido," $11,794.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
200,220161DC011,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $10,200.00 ",,,,,,,,Desconocido," $10,200.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
201,220161DC012,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $10,200.00 ",,,,,,,,Desconocido," $10,200.00 ",,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
202,220161DC013,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT, $-   ,,,,,,,,Desconocido, $-   ,,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
203,220161DC014,P.M. S.J.R.,APOYO,PROGRAMA DE INFRAESTRUCTURA HABITAT,CURSOS O TALLERES DE DESARROLLO COMUNITARIO,,PROGRAMA DE INFRAESTRUCTURA HABITAT, $-   ,,,,,,,,Desconocido, $-   ,,,SAN CAYETANO EL MARFIL,SAN JUAN DEL RÍO,,,08/06/2019,
204,220161ME001,P.M. S.J.R.,OBRA,PROGRAMA DE INFRAESTRUCTURA HABITAT,CONSTRUCCIÓN DE PAVIMENTO ASFÁLTICO EN CALLE CIRCUITO QUERÉTARO ORIENTE,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $2,050,000.00 ",,,,,,,,Desconocido," $2,050,000.00 ",,,COL GRANJAS BANTHI,SAN JUAN DEL RÍO,,,08/06/2019,
205,220161ME002,P.M. S.J.R.,OBRA,PROGRAMA DE INFRAESTRUCTURA HABITAT,CONSTRUCCIÓN DE PAVIMENTO EN CALLES 16 DE SEPTIEMBRE Y 5 DE FEBRERO ,,PROGRAMA DE INFRAESTRUCTURA HABITAT," $1,350,466.00 ",,,,,,,,Desconocido," $1,350,466.00 ",,,ARCILA,SAN JUAN DEL RÍO,,,08/06/2019,
206,30-CEA-APARURAL-DDHC-18-OP-30-FL,CEA,OBRA,PROAGUA,CONSTRUCCIÓN DE SISTEMA DE AGUA POTABLE PARA LA COMUNIDAD DE MATANZAS,14P,PROAGUA," $6,181,694.96 ",,,,,PECEA," $4,121,129.98 ",,,," $10,109,976.08 ",,MATANZAS,EL MARQUÉS,,,08/06/2019,
207,31-CEA-APAUR-DDHC-18-OP-31-FL,CEA,OBRA,PROAGUA,CONSTRUCCIÓN DE RED DE AGUA POTABLE EN LA COL.  PROYECCIÓN 2000,02P,PROAGUA," $2,159,069.00 ",,,,,PECEA," $2,168,037.00 ",,,,,,PROYECCIÓN 2000,QUERÉTARO,,,08/06/2019,
208,31-CEA-APAUR-DDHC-18-OP-31-FL,CEA,OBRA,PROAGUA,CONSTRUCCIÓN DE RED DE ALCANTARILLADO SANITARIO EN LA COL. PROYECCIÓN 2000,02P,PROAGUA," $7,942,958.00 ",,,,,PECEA," $9,191,548.00 ",,,,,,PROYECCIÓN 2000,QUERÉTARO,,,08/06/2019,
209,45-CEA-APAUR-DDHC-18-OP-45-FL,CEA,OBRA,PROAGUA,CONSTRUCCIÓN DE LÍNEA DE CONDUCCIÓN Y REDES DE DISTRIBUCIÓN DE AGUA POTABLE EL PARAISO,02P,PROAGUA," $12,027,227.26 ",,,,,PECEA," $12,027,227.26 ",,,," $23,949,931.03 ",,EL PARAISO ,CORREGIDORA,12/10/2018,31/12/2018,08/06/2019,
210,46-CEA-APAUR-DDHC-18-OP-46-FL,CEA,OBRA,PROAGUA,CONSTRUCCIÓN DE COLECTOR SANITARIO EL PARAISO,02P,PROAGUA," $3,537,783.15 ",,,,,PECEA," $3,537,783.15 ",,,," $6,918,866.84 ",,EL PARAISO,CORREGIDORA,01/10/2018,31/12/2018,08/06/2019,
211,60-CEA-APARURAL-DDHC-18-OP-60-FL,CEA,OBRA,PROAGUA,CONSTRUCCIÓN DE LINEA DE CONDUCCION PARA LA INCORPORACIÓN DEL POZO LA MONJA II,14P,PROAGUA," $17,337,784.80 ",,,,,PECEA," $11,558,523.20 ",,,," $28,609,445.65 ",,COREA-SAN ISIDRO,QUERÉTARO,27/12/2018,24/06/2019,08/06/2019,
212,PFCE-UTSJR- 1688/17,UTSJR,APOYO,PROGRAMA DE FORTALECIMIENTO DE LA CAIDAD EDUCATIVA,RECURSOS ECONOMICOS,,PROGRAMA DE FORTALECIMIENTO DE LA CAIDAD EDUCATIVA," $3,986,379.00 ",,,,,,,,,,,,VISTA HERMOSA ,SAN JUAN DEL RÍO,,,08/06/2019,
213, 2018-00724,CEIQ,OBRA,CULTURA FÍSICA Y DEPORTE ,"CONVENIO DE COORDINACIÓN CON LA CONADE E INDEREQ, CONSTRUCCIÓN DE GIMNASIO MULTIFUNCIONAL EN EL PARQUE QUERÉTARO 2000",27P,CONADE (GIMNASIO MULTIFUN 18)," $40,221,724.25 ",,,,,,,,,," $37,330,185.56 ",,QUERÉTARO,QUERÉTARO,,,08/06/2019,
214,DGPLADES-FAMCECTR-QRO-01/18,SESEQ,SERVICIO,FORTALECIMIENTO A LA ATENCIÓN MÉDICA,OPERACIÓN DEL PROGRAMA FORTALECIMIENTO DE LA ATENCIÓN MÉDICA,54O,PROGRAMA FORTALECIMIENTO DE LA ATENCIÓN MÉDICA," $10,746,972.48 ",,,,,,,,,,," $10,746,972.48 ",ALCANCE ESTATAL,ALCANCE ESTATAL,,,08/06/2019,
215,2018-00212,SEDESOQ,OBRA,PROGRAMA DE INFRAESTRUCTURA INDÍGENA,CONSTRUCCIÓN DEL SISTEMA DE AGUA (2A ETAPA),84O, PROII 2018 ," $4,170,935.78 ",43E,," $1,191,695.94 ",,,,83O,," $595,847.97 "," $5,958,479.68 "," $5,958,479.68 ",SOLEDAD DE GUADALUPE,JALPAN,02/04/2018,30/07/2018,08/06/2019,
216,2018-00216,SEDESOQ,OBRA,PROGRAMA DE INFRAESTRUCTURA INDÍGENA,AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE (2DA ETAPA),84O, PROII 2018 ," $898,759.44 ",43E,," $256,788.41 ",,,,83O,," $128,394.21 "," $1,476,624.73 "," $1,476,624.73 ",SAN PEDRO DE LOS EUCALIPTOS,TOLIMÁN,24/03/2018,21/07/2018,08/06/2019,
217,2018-00217,SEDESOQ,OBRA,PROGRAMA DE INFRAESTRUCTURA INDÍGENA,AMPLIACIÓN DEL SISTEMA DE ALCANTARILLADO SANITARIO 2DA ETAPA,84O, PROII 2018 ," $3,413,035.91 ",43E,," $975,153.12 ",,,,83O,," $487,576.56 "," $4,876,033.08 "," $4,876,033.08 ",DON LUCAS,TOLIMÁN,24/03/2018,03/08/2018,08/06/2019,
218,2018-00218,SEDESOQ,OBRA,PROGRAMA DE INFRAESTRUCTURA INDÍGENA,CONSTRUCCIÓN DEL SISTEMA DE ALCANTARILLADO SANITARIO (5TA ETAPA),84O, PROII 2018 ," $1,397,890.84 ",43E,," $399,397.39 ",,,,83O,," $199,698.70 "," $1,996,986.91 "," $1,996,986.91 ",SAN MIGUEL TLAXCALTEPEC,AMEALCO,26/03/2018,23/07/2018,08/06/2019,
