id_obra,subobra_id,num_obra,nombre_obra,mmunicipio,localidad,tipo_proyecto,ejecutora,normativa,clasificador_plan_estatal,cantidad_metas,unidad_metas,contratista,inicio_obra,termino_obra,status_obra,avance,monto_aprobado,fondo,ff_federal,importe_federal,aportacion_federal,ff_estatal,importe_esatal,aportacion_estatal,ff_municipal,importe_municipal,aportacion_municipal,ff_otros,imprte_otros,aportacion_otros,ff_recursos_propios,importe_recursos_propios,aportacion_recursos_propios,monto_contratado,monto_ejercido,status,solicitud_baja,baja_justificacion,baja_respuesta
415,,2019-00389,"MEJORAMIENTO DE CALLE DIAMANTE (PAVIMENTACIÓN EMPEDRADO), EN LA LOCALIDAD DE HACIENDA GRANDE, TEQUISQUIAPAN, QRO.",TEQUISQUIAPAN,HACIENDA GRANDE,,P.M. TEQUIS.,SEDESOQ,INFRAESTRUCTURA,176.43,ML(GUARNICIONES DE CONCRETO),GASTELUM PUGA JESÚS MANUEL,05/08/2019,01/11/2019,APROBADO,,1476068.93,ISN EMPRESA,,0,0,21E,1476068.93,100,,0,0,,0,0,,,,1476068.93,0,,,,
416,,2019-00390,"MEJORAMIENTO DE CALLE PASEO DE LA RIVERA (PAVIMENTACIÓN EMPEDRADO), EN BARRIO SAN JUAN, TEQUISQUIAPAN, QRO.",TEQUISQUIAPAN,BARRIO SAN JUAN,,P.M. TEQUIS.,SEDESOQ,INFRAESTRUCTURA,738,M2 (EMPEDRADO),GASTELUM PUGA JESÚS MANUEL,08/07/2019,20/09/2019,APROBADO,70,798911.74,FAFEF 2019,07Q,798911.74,100,,0,0,,0,0,,0,0,,,,798911.74,239673.52,,,,
417,,2019-00391,"MEJORAMIENTO DE CALLE JADE (PAVIMENTACIÓN EMPEDRADO), EN LA LOCALIDAD DE HACIENDA GRANDE, TEQUISQUIAPAN",TEQUISQUIAPAN,HACIENDA GRANDE,,P.M. TEQUIS.,SEDESOQ,INFRAESTRUCTURA,1114,M2 (EMPEDRADO),BARRERA VEGA PORFIRIO,12/08/2019,08/11/2019,APROBADO,75,998020.52,FAFEF 2019,07Q,998020.52,100,,0,0,,0,0,,0,0,,,,998020.52,299406.15,,,,
418,,2019-00392,"PROGRAMA DE FOMENTO AL DESARROLLO AGROPECUARIO, FORESTAL Y PESCA SEGUNDA ETAPA.",ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,2,ACCIONES,,,,TERMINADO,100,32000000,ISN 2019,,0,0,08Q,32000000,100,,0,0,,0,0,,,,0,32000000,,,,
419,,2019-00393,APORTACIÓN ESTATAL AL CONVENIO CON SADER PARA EL PROGRAMA DE SANIDAD E INOCUIDAD AGROALIMENTARIA 2019.,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDEA,SEDEA,DESARROLLO AGROPECUARIO,23,PROYECTOS,,,,TERMINADO,100,16900000,ISN 2019,,0,0,08Q,16900000,100,,0,0,,0,0,,,,0,16900000,,,,
420,,2019-00394,"MEJORAMIENTO DE AV.PLAN DE SAN LUIS, DE AV. PASEO QUERÉTARO A AV. SAN RAFAEL, EN LA COLONIA EL ROMERILLAL Y LOMAS DEL PEDREGAL 2DA SECCIÓN, DELEGACIÓN FÉLIX OSORES SOTOMAYOR, QUERÉTARO, QRO.",QUERETARO,"ROMERILLAL, EL",,CEIQ,SEDESOQ,INFRAESTRUCTURA,4580.28,M2 (PAVIMENTO CONCRETO),GONZALEZ MARTELL ABRAHAM,05/07/2019,31/12/2019,APROBADO,26,8365358.7,ISN 2019,,0,0,08Q,8365358.7,100,,0,0,,0,0,,,,8365358.7,2772303.61,,,,
421,,2019-00395,"EMPEDRADO DE CAMINO EN LA LOCALIDAD DE LA PIN�?, AMEALCO DE BOFIL ",AMEALCO,"PINI, LA",,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1165,METROS CUADRADOS,CHAVEZ GUZMAN ALMA DELIA,15/07/2019,12/10/2019,APROBADO,85,499985.55,FAFEF 2019,07Q,499985.55,100,,0,0,,0,0,,0,0,,,,499985.55,149995.66,,,,
422,,2019-00396,"EMPEDRADO DE CAMINO EN LA LOCALIDAD DE SAN NICOL�?S DE LA TORRE, AMEALCO DE BONFIL ",AMEALCO,SAN NICOLAS DE LA TORRE,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1116,METROS CUADRADOS,GARFIAS VAZQUEZ DANIELA,03/08/2019,31/10/2019,APROBADO,100,499607.21,ISN 2019,,0,0,08Q,499607.21,100,,0,0,,0,0,,,,499607.21,149882.16,,,,
423,,2019-00397,EMPEDRADO DE CAMINO EN LA LOCALIDAD DE EL PICACHO AMEALCO DE BONFIL,AMEALCO,"PICACHO,  EL",,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,978,M2 (EMPEDRADO),ROCHA VAZQUEZ MARTIN,15/07/2019,12/10/2019,APROBADO,100,498925.62,FAFEF 2019,07Q,498925.62,100,,0,0,,0,0,,0,0,,,,498925.62,498925.62,,,,
424,,2019-00398,EMPEDRADO DE CAMINO EN LA LOCALIDAD DE TENASD�? (BARRIO DE SAN ILDELFONSO) AMEALCO DE BONFIL,AMEALCO,TENASDA (BARRIO DE SAN ILDEFONSO),,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1482.8,M2 (EMPEDRADO),GARFIAS VAZQUEZ LORENA,18/07/2019,15/10/2019,APROBADO,80,499091.79,ISN 2019,,0,0,08Q,499091.79,100,,0,0,,0,0,,,,499091.79,149727.53,,,,
425,,2019-00399,"EMPEDRADO DE CAMINO EN LA LOCALIDAD DE QUIOTILLOS, AMEALCO DE BONFIL ",AMEALCO,QUIOTILLOS,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,933.17,M2 (EMPEDRADO),SILVESTRE OBREGON CARMONA,18/07/2019,15/10/2019,APROBADO,85,495780.11,ISN 2019,,0,0,08Q,495780.11,100,,0,0,,0,0,,,,495780.11,148734.03,,,,
426,,2019-00400,"CONSTRUCCION DE EMPEDRADO AHOGADO EN COLONIA ESTRELLA, CALLE VENUS, PEDRO ESCOBEDO, QRO.",PEDRO ESCOBEDO,PEDRO ESCOBEDO,,P.M. P. ESCOBEDO,SEDESOQ,INFRAESTRUCTURA,2205,METROS CUADRADOS,GARFIAS VAZQUEZ URIEL,11/07/2019,18/10/2019,APROBADO,35,2199994.06,ISN 2019,,0,0,08Q,2199994.06,100,,0,0,,0,0,,,,2199994.06,0,,,,
427,,2019-00401,"CONSTRUCCIÓN DE COLECTOR PLUVIAL, LOCALIDAD DE SAN FANDILA, PEDRO ESCOBEDO, QRO.",PEDRO ESCOBEDO,SAN FANDILA,,P.M. P. ESCOBEDO,SEDESOQ,INFRAESTRUCTURA,281.25,MURO DE CONTENCIÓN CON MAMPOSTERIA DE PIEDRA BRAZA,URDA PROYECTOS Y CONSTRUCCIONES S.A. DE C.V.,11/07/2019,08/10/2019,APROBADO,30,990545.67,FAFEF 2019,07Q,990545.67,100,,0,0,,0,0,,0,0,,,,990545.67,297163.7,,,,
428,,2019-00402,"URBANIZACIÓN INTEGRAL DE CALLE NIÑOS HEROES, LOCALIDAD DE NORIA NUEVA. 1RA ETAPA, PEDRO ESCOBEDO, QRO.",PEDRO ESCOBEDO,NORIA NUEVA,,P.M. P. ESCOBEDO,SEDESOQ,INFRAESTRUCTURA,1300,METROS CUADRADOS,GARCIA ARZATE SERGIO,11/07/2019,08/10/2019,APROBADO,35,1592043.07,ISN 2019,,0,0,08Q,1592043.07,100,,0,0,,0,0,,,,1592043.07,477612.92,,,,
429,,2019-00403,"URBANIZACIÓN INTEGRAL DE CALLE EL ROBLE, LA VENTA DE AJUCHITLANCITO, PEDRO ESCOBEDO, QRO.",PEDRO ESCOBEDO,"VENTA DE AJUCHITLANCITO, LA (LA VENTA)",,P.M. P. ESCOBEDO,SEDESOQ,INFRAESTRUCTURA,3150,METROS CUADRADOS,FLORES OBREGON JOSE,11/07/2019,28/10/2019,APROBADO,35,4540472.42,ISN 2019,,0,0,08Q,4540472.42,100,,0,0,,0,0,,,,4540472.42,1362141.72,,,,
430,,2019-00404,"URBANIZACIÓN INTEGRAL DE CALLES AQUILES SERDAN Y MIGUEL HIDALGO, LOCALIDAD DE IGNACIO PEREZ (EL MUERTO), PEDRO ESCOBEDO, QRO.",PEDRO ESCOBEDO,IGNACIO PEREZ (EL MUERTO),,P.M. P. ESCOBEDO,SEDESOQ,INFRAESTRUCTURA,1618.6,METROS CUADRADOS,GARCIA ZEPEDA J. ANTOLIN,11/07/2019,18/10/2019,APROBADO,40,2087137.55,ISN 2019,,0,0,08Q,2087137.55,100,,0,0,,0,0,,,,2087137.55,626141.26,,,,
431,,2019-00405,"URBANIZACION INTEGRAL AV. INSURGENTES, LOCALIDAD DE SAN FANDILA, PEDRO ESCOBEDO, QRO.",PEDRO ESCOBEDO,SAN FANDILA,,P.M. P. ESCOBEDO,SEDESOQ,INFRAESTRUCTURA,187,M2(BANQUETAS DE CONCRETO),HERNANDEZ GUERRERO JUAN MANUEL,11/07/2019,18/10/2019,APROBADO,33,1991252.54,ISN 2019,,0,0,08Q,1991252.54,100,,0,0,,0,0,,,,1991252.54,597375.76,,,,
432,,2019-00406,"PROGRAMA DE ACTIVIDADES EN MUSEOS, GALER�?AS, MUSEOS COMUNITARIOS Y ESPACIOS CULTURALES",ALCANCE ESTATAL,ALCANCE ESTATAL,,CULTURA,CULTURA,CULTURA,10,EXPOSICION,,,,APROBADO,16,921016.48,ISN 2019,,0,0,08Q,921016.48,100,,0,0,,0,0,,,,0,242712.69,,,,
433,,2019-00407,EMPEDRADO DE CAMINO EN EL TORIL LOCALIDAD DE GUADALUPE EL TERRERO AMEALCO DE BONFIL,AMEALCO,GUADALUPE EL TERRERO,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1500,M2 (EMPEDRADO),COLIN SANCHEZ JOSE,31/07/2019,28/10/2019,APROBADO,90,799999.98,ISN 2019,,0,0,08Q,799999.98,100,,0,0,,0,0,,,,799999.98,239999.99,,,,
434,,2019-00408,REHABILITACIÓN DE CAMINO PRINCIPAL EN LA LOCALIDAD DE JACAL DE LA PIEDAD AMEALCO DE BONFIL,AMEALCO,JACAL DE LA PIEDAD,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,2130,M2 (EMPEDRADO),CONSTRUCCIONES INTERESTATALES S.A. DE C.V.,18/07/2019,15/10/2019,APROBADO,90,792436.14,ISN 2019,,0,0,08Q,792436.14,100,,0,0,,0,0,,,,792436.14,237730.84,,,,
435,,2019-00409,PROGRAMA PARA FOMENTAR LA INVERSIÓN Y GENERAR EMPLEO (PROFIGE) COMPLEMENTO 1 ,ALCANCE ESTATAL,ALCANCE ESTATAL,,SEDESU,SEDESU,DESARROLLO ECONOMICO,1,APOYOS,,,,APROBADO,,50000000,ISN 2019,,0,0,08Q,50000000,100,,0,0,,0,0,,,,0,0,,,,
436,,2019-00410,"CONSTRUCCIÓN DE EMPEDRADO AHOGADO EN CALLES DE LA LOCALIDAD DE LA D SANTA BARBARA. 2DA ETAPA, PEDRO ESCOBEDO, QRO.",PEDRO ESCOBEDO,"D, LA",,P.M. P. ESCOBEDO,SEDESOQ,INFRAESTRUCTURA,6428,METROS CUADRADOS,CAMOMO S.A. DE C.V.,11/07/2019,28/10/2019,APROBADO,45,3979502.92,ISN 2019,,0,0,08Q,3979502.92,100,,0,0,,0,0,,,,3979502.92,1193850.87,,,,
437,,2019-00411,"TRANSFERENCIA DE ESCUELAS AL CIEN, REMANENTES 25% FAM POTENCIADO EDUCACIÓN SUPERIOR",ALCANCE ESTATAL,ALCANCE ESTATAL,,IIFEQ,IIFEQ,EDUCACION,1,TRANSFERENCIA,,,,APROBADO,,1170936.59,FAM SUP 2019,02Q,1170936.59,100,,0,0,,0,0,,0,0,,,,0,1170936.59,,,,
438,,2019-00412,"TRANSFERENCIA DE ESCUELAS AL CIEN, REMANENTES 25% FAM POTENCIADO EDUCACIÓN B�?SICA",ALCANCE ESTATAL,ALCANCE ESTATAL,,IIFEQ,IIFEQ,EDUCACION,1,TRANSFERENCIA,,,,APROBADO,,3710282.28,FAM BASICA 2019,99P,3710282.28,100,,0,0,,0,0,,0,0,,,,0,3710282.28,,,,
439,,2019-00413,"TRANSFERENCIA DE ESCUELAS AL CIEN, REMANENTES 25% FAM POTENCIADO EDUCACIÓN MEDIA SUPERIOR",ALCANCE ESTATAL,ALCANCE ESTATAL,,IIFEQ,IIFEQ,EDUCACION,1,TRANSFERENCIA,,,,APROBADO,,250603.92,FAM MEDIA SUP 2019,01Q,250603.92,100,,0,0,,0,0,,0,0,,,,0,250603.92,,,,
440,,2019-00414,"AMPLIACION DEL DRENAJE SANITARIO EN CALLES SEGUNDA ETAPA EN LA LOCALIDAD DE LAGUNILLAS, HUMILPAN; QRO. - 12181",HUIMILPAN,LAGUNILLAS,,P.M. HUIMILPAN,SEDESOQ,INFRAESTRUCTURA,299,METROS LINEALES,GARCIA ZEPEDA J. ANTOLIN,21/06/2019,19/08/2019,APROBADO,100,627145.64,FISE 2019,05Q,627145.64,100,,0,0,,0,0,,0,0,,,,627145.64,515569.81,,,,
441,,2019-00415,"AMPLIACION DE RED DE ENERGIA ELECTRICA VARIAS CALLES EN LA LOCALIDAD DE LAGUNILLAS, HUIMILPAN; QRO. - 10879",HUIMILPAN,LAGUNILLAS,,P.M. HUIMILPAN,SEDESOQ,INFRAESTRUCTURA,6,ESTRUCTURAS,ARRIAGA RESENDIZ RAUL AGAPITO,21/06/2019,19/08/2019,APROBADO,100,565868.73,FISE 2019,05Q,565868.73,100,,0,0,,0,0,,0,0,,,,565868.73,169760.61,,,,
442,,2019-00416,"AMPLIACIÓN DE RED ENERG�?A ELÉCTRICA EN VARIAS CALLES DE LA LOCALIDAD EL VEGIL, HUIMILPAN; QRO. - 12025",HUIMILPAN,"VEGIL, EL",,P.M. HUIMILPAN,SEDESOQ,INFRAESTRUCTURA,17,ESTRUCTURAS,ARRIAGA RESENDIZ RAUL AGAPITO,03/07/2019,30/09/2019,APROBADO,100,1162886.97,FISE 2019,05Q,1162886.97,100,,0,0,,0,0,,0,0,,,,1162886.97,348866.09,,,,
443,,2019-00417,"MEJORAMIENTO DE AV. PLAN DE SAN LUIS, DE AV. SAN RAFAEL A AV. POPOCATÉPETL, COLONIA LOMAS DEL PEDREGAL 2DA SECCIÓN, 10 DE ABRIL, 5 DE FEBRERO Y EDUARDO LOARCA, DELEGACIÓN FÉLIX OSORES SOTOMAYOR, QUERÉTARO, QRO.",QUERETARO,COLONIA  LOMAS DEL PEDREGAL,,CEIQ,SEDESOQ,INFRAESTRUCTURA,1499.88,M2(BANQUETAS DE CONCRETO),CONSTRUCTORA MENDEZ D S.A. DE C.V.,01/07/2019,27/11/2019,APROBADO,35,13899795.04,ISN 2019,,0,0,08Q,13899795.04,100,,0,0,,0,0,,,,13899795.04,4968001.9,,,,
444,,2019-00418,MEJORAMIENTO DE LAS INSTALACIONES DEL CENTRO DE D�?A ,LANDA DE MATAMOROS,LANDA,,P.M. LANDA,P.M. LANDA,INFRAESTRUCTURA,62,METROS CUADRADOS,VEGA MUÑOZ JUAN CARLOS,01/07/2019,28/09/2019,APROBADO,15,1199802.8,ISN 2019,,0,0,08Q,1199802.8,100,,0,0,,0,0,,,,1199802.8,366536.35,,,,
445,,2019-00419,"URBANIZACIÓN DE CALLES EN LA LOCALIDAD DE SAN PEDRITO, HUIMILPAN; QUERETARO.",HUIMILPAN,SAN PEDRITO,,P.M. HUIMILPAN,SEDESOQ,INFRAESTRUCTURA,2521.53,METROS CUADRADOS,SANDOVAL OLVERA JOSE ADAN,02/07/2019,29/09/2019,APROBADO,50,2176953.03,ISN 2019,,0,0,08Q,2176953.03,100,,0,0,,0,0,,,,2176953.03,653085.9,,,,
446,,2019-00420,"URBANIZACION DE CALLES EN LA LOCALIDAD DE LOS CUES, HUIMILPAN; QUERETARO",HUIMILPAN,"CUES, LOS",,P.M. HUIMILPAN,SEDESOQ,INFRAESTRUCTURA,1405,METROS CUADRADOS,TZINTZUN FLORES ROMAN,02/07/2019,29/09/2019,APROBADO,15,1172879.26,ISN 2019,,0,0,08Q,1172879.26,100,,0,0,,0,0,,,,1172879.26,351863.77,,,,
447,,2019-00421,"URBANIZACION DE CALLES EN LA LOCALIDAD DE LA NORIA, HUIMILPAN, QUERETARO",HUIMILPAN,"NORIA, LA",,P.M. HUIMILPAN,SEDESOQ,INFRAESTRUCTURA,1749.33,M2 (EMPEDRADO),CONSTRUCTORA POCH S.A. DE C.V.,03/07/2019,30/09/2019,APROBADO,40,1975248.72,ISN 2019,,0,0,08Q,1975248.72,100,,0,0,,0,0,,,,1975248.72,592574.61,,,,
448,,2019-00422,EMPEDRADO DE CAMINO EN LA LOCALIDAD DE YOSPH�?.AMEALCO DE BONFIL,AMEALCO,YOSPHI,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,1104,M2 (EMPEDRADO),VAZQUEZ CORREA FRANCISCO,18/07/2019,15/10/2019,APROBADO,90,499927.8,ISN 2019,,0,0,08Q,499927.8,100,,0,0,,0,0,,,,499927.8,149978.34,,,,
449,,2019-00423,"AMPLIACION DE LINEA DE MEDIA TENSION EN LA LOCALIDAD DE ESCANELILLA, PINAL DE AMOLES, QRO",PINAL DE AMOLES,ESCANELILLA,,P.M. PINAL,SEDESOQ,INFRAESTRUCTURA,26,POSTES,RIVERA HERNANDEZ ULISES ALFONSO,14/06/2019,12/08/2019,TERMINADO,100,1081889.59,ISN 2019,,0,0,08Q,1081889.59,100,,0,0,,0,0,,,,1081889.59,1081889.58,,,,
450,,2019-00424,"AMPLIACION DE L. D. Y R. D. DE ENERGIA ELECTRICA EN LA LOCALIDAD DE LA JOYA DE AHUACATLAN, PINAL DE AMOLES, QRO",PINAL DE AMOLES,"JOYA DE AHUACATLAN, LA",,P.M. PINAL,SEDESOQ,INFRAESTRUCTURA,6,POSTES,RIVERA HERNANDEZ ULISES ALFONSO,13/06/2019,11/08/2019,TERMINADO,100,437642.58,ISN 2019,,0,0,08Q,437642.58,100,,0,0,,0,0,,,,438447.98,437642.58,,,,
451,,2019-00425,EMPEDRADO DE CAMINO EN LA LOCALIDAD DE HACIENDA BLANCA AMEALCO DE BONFIL,AMEALCO,HACIENDA BLANCA,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,906,M2 (EMPEDRADO),ALEJANDRO FLORES VALDES,18/07/2019,15/10/2019,APROBADO,90,399157.88,ISN 2019,,0,0,08Q,399157.88,100,,0,0,,0,0,,,,399157.88,119747.36,,,,
452,,2019-00426,"REHABILITACIÓN DE PAVIMENTO CON CONCRETO HIDR�?ULICO EN CALLE VICENTE SU�?REZ EN CABECERA MUNICIPAL DE EZEQUIEL MONTES, QRO.",EZEQUIEL MONTES,EZEQUIEL MONTES,,P.M. E. MONTES,SEDESOQ,INFRAESTRUCTURA,1305,M2 (PAVIMENTO CONCRETO),COMERCIALIZADORA NIMAAD S.A. DE C.V.,08/07/2019,10/10/2019,APROBADO,40,3158757.27,ISN 2019,,0,0,08Q,3158757.27,100,,0,0,,0,0,,,,3158757.27,947627.18,,,,
453,,2019-00427,"REHABILITACIÓN DE CARPETA ASF�?LTICA EN CAMINO (AMAZCALA-SAN MIGUEL AMAZCALA-ALFAJAYUCAN),  EL MARQUÉS, QRO.",EL MARQUES,AMAZCALA,,SDUOP,SEDESOQ,INFRAESTRUCTURA,49875,METROS CUADRADOS,H Y R CONSTRUCTORES ASOCIADOS  S.A. DE C.V.,16/07/2019,13/09/2019,APROBADO,,3792218.75,ISN 2019,,0,0,08Q,3792218.75,100,,0,0,,0,0,,,,3792218.75,1137665.62,,,,
454,,2019-00428,"AMPLIACIÓN DE DRENAJE SANITARIO EN LA COL. SAN PEDRO, LA CAÑADA, EL MARQUÉS, QRO.",EL MARQUES,SAN PEDRO AMAZCALA,,SDUOP,SEDESOQ,INFRAESTRUCTURA,854.2,METROS LINEALES,TOVAR RODARTE OCTAVIO,17/07/2019,13/11/2019,APROBADO,8,3657127.48,ISN 2019,,0,0,08Q,3657127.48,100,,0,0,,0,0,,,,3657127.48,1113639.23,,,,
455,,2019-00429,"CONSTRUCCIÓN DE GUARNICIONES Y BANQUETAS EN ALFAJAYUCAN, EL MARQUÉS, QRO.",EL MARQUES,ALFAJAYUCAN,,SDUOP,SEDESOQ,INFRAESTRUCTURA,1382.2,ML(GUARNICIONES DE CONCRETO),ALARCON AMADOR MA. DE JESÚS,16/07/2019,13/10/2019,APROBADO,41,6501829.67,ISN 2019,,0,0,08Q,6501829.67,100,,0,0,,0,0,,,,6501829.67,2399819.86,,,,
456,,2019-00430,"AMPLIACIÓN DE DRENAJE SANITARIO EN LA COL. SAN CRISTOBAL, EL COLORADO, EL MARQUÉS, QRO. ",EL MARQUES,"COLORADO, EL",,SDUOP,SEDESOQ,INFRAESTRUCTURA,968.7,METROS LINEALES,AURIO DISEÑO Y CONSTRUCCIONES S.A. DE C.V.,17/07/2019,13/12/2019,APROBADO,14,3299410.82,ISN 2019,,0,0,08Q,3299410.82,100,,0,0,,0,0,,,,3299410.82,1257118.63,,,,
457,,2019-00431,AMPLIACION DE RED DE DRENAJE SANITARIO PARA BENEFICIAR A LA CALLE SN BARRIO EL RINCON SAN PABLO TOLIMAN.-50022-,TOLIMAN,SAN PABLO TOLIMAN,,P.M. TOLIMAN,SEDESOQ,INFRAESTRUCTURA,212.4,METROS LINEALES,FLORES LOPEZ JORGINA,08/07/2019,05/10/2019,APROBADO,75,533466.27,FISE 2019,05Q,533466.27,100,,0,0,,0,0,,0,0,,,,533466.27,441440.52,,,,
458,,2019-00432,"REHABILITACIÓN DEL PARQUE RECREATIVO CERRO DE LOS GALLOS, AMEALCO DE BONFIL",AMEALCO,AMEALCO,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,768,M2 (BARDA),CONSTRUCCIONES INTERESTATALES S.A. DE C.V.,01/08/2019,28/11/2019,APROBADO,35,1980515.79,ISN 2019,,0,0,08Q,1980515.79,100,,0,0,,0,0,,,,1980515.79,594154.73,,,,
459,,2019-00433,REHABILITACIÓN DE CALLES ALREDEDOR DEL MERCADO MUNICIPAL EN AMEALCO DE BONFIL,AMEALCO,AMEALCO,,P.M. AMEALCO,SEDESOQ,INFRAESTRUCTURA,7998.72,M2 (PAVIMENTO CONCRETO),INMOBILIARIA ARQUITECTURA Y CONSTRUCCION ARQON S.A. DE C.V.,01/07/2019,27/11/2019,APROBADO,20,10812694.66,ISN 2019,,0,0,08Q,10812694.66,100,,0,0,,0,0,,,,10812694.66,3243808.39,,,,
460,,2019-00434,REHABILITACIÓN DE LA UNIDAD DEPORTIVA EL VICARIO EN AMEALCO DE BONFIL,AMEALCO,AMEALCO,,P.M. AMEALCO,SEDESOQ,DEPORTE,453.44,METROS LINEALES,PROYECTOS Y EDIFICACIONES MAYI S. DE R.L. DE C.V.,01/07/2019,28/10/2019,APROBADO,20,1999844.63,ISN 2019,,0,0,08Q,1999844.63,100,,0,0,,0,0,,,,1999844.63,599953.38,,,,
461,,2019-00435,"REHABILITACIÓN DE PISO DE CONCRETO HIDR�?ULICO EN CALLE BENITO JUAREZ EN CABECERA MUNICIPAL DE EZEQUIEL MONTES, QRO.",EZEQUIEL MONTES,EZEQUIEL MONTES,,P.M. E. MONTES,SEDESOQ,INFRAESTRUCTURA,310,M2 (PAVIMENTO CONCRETO),VEGA MARTINEZ JORGE ARMANDO,08/07/2019,06/10/2019,APROBADO,50,998049.14,ISN 2019,,0,0,08Q,998049.14,100,,0,0,,0,0,,,,998049.14,299414.74,,,,
462,,2019-00436,"AMPLIACIÓN DE LA INFRAESTRUCTURA PLUVIAL EN LA CABECERA MUNICIPAL DE SAN JOAQU�?N, QUERÉTARO",SAN JOAQUIN,SAN JOAQUIN,,CEIQ,SEDESOQ,INFRAESTRUCTURA,1965,M2 (PAVIMENTO CONCRETO),JV CONSTRUCCIONES CIVILES S.A. DE C.V.,01/07/2019,28/09/2019,APROBADO,71,6696453.93,ISN 2019,,0,0,08Q,6696453.93,100,,0,0,,0,0,,,,6696453.93,2591470.61,,,,
463,,2019-00437,"MEJORAMIENTO DE CALLE VILLA DE SAN MIGUEL, COLONIA EL ROMERILLAL, QUERÉTARO, QRO.",QUERETARO,"ROMERILLAL, EL",,CEIQ,SEDESOQ,INFRAESTRUCTURA,492.18,M2(BANQUETAS DE CONCRETO),FEYSA CONSTRUCCIÓN Y MANTENIMIENTO S. DE R.L. DE C.V.,08/07/2019,05/10/2019,APROBADO,15,3749024.06,ISN 2019,,0,0,08Q,3749024.06,100,,0,0,,0,0,,,,3749024.06,1124707.21,,,,
464,,2019-00438,"MEJORAMIENTO DE CALLE BOLDO, EN LA COLONIA ROMERILLAL, MUNICIPIO DE QUERÉTARO, QRO",QUERETARO,"ROMERILLAL, EL",,CEIQ,SEDESOQ,INFRAESTRUCTURA,4080,M2 (EMPEDRADO),GUMO CONSTRUCCIONES DE QUERÉTARO S.A. DE C.V.,02/07/2019,29/10/2019,APROBADO,93,3650198.95,ISN 2019,,0,0,08Q,3650198.95,100,,0,0,,0,0,,,,3650198.95,2618763.94,,,,
465,,2019-00439,"MEJORAMIENTO DE CALLE SONORA COLONIA ROSENDO SALAZAR, QUERÉTARO, QRO",QUERETARO,ROSENDO SALAZAR I,,CEIQ,SEDESOQ,INFRAESTRUCTURA,1232.99,M2(BANQUETAS DE CONCRETO),FEYSA CONSTRUCCIÓN Y MANTENIMIENTO S. DE R.L. DE C.V.,08/07/2019,04/12/2019,APROBADO,46,4520964.12,ISN 2019,,0,0,08Q,4520964.12,100,,0,0,,0,0,,,,4520964.12,1356289.23,,,,
466,,2019-00440,"URBANIZACIÓN DE CALLES EN LA LOCALIDAD DE EL VEGIL, HUIMILPAN; QUERETARO. ",HUIMILPAN,"VEGIL, EL",,P.M. HUIMILPAN,SEDESOQ,INFRAESTRUCTURA,4215.53,METROS CUADRADOS,CONSTRUCTORA COLUMBUS S.A. DE C.V.,01/08/2019,28/11/2019,APROBADO,5,3810003.36,ISN 2019,,0,0,08Q,3810003.36,100,,0,0,,0,0,,,,3810003.36,1143001,,,,
467,,2019-00442,"MEJORAMIENTO DE CALLE HIERBABUENA, COL. EL ROMERILLAL, DELEGACIÓN FÉLIX OSORES SOTOMAYOR, QUERÉTARO, QRO.",QUERETARO,"ROMERILLAL, EL",,CEIQ,SEDESOQ,INFRAESTRUCTURA,2302,M2(BANQUETAS DE CONCRETO),CRIBADOS Y TRITURADOS QUERETARO-BAJIO S.A. DE C.V.,08/07/2019,04/11/2019,APROBADO,30,5182182.84,ISN 2019,,0,0,08Q,5182182.84,100,,0,0,,0,0,,,,5182182.84,1554654.85,,,,
468,,2019-00443,EMPEDRADO DE CAMINO AL TERRERO EN LA LOCALIDAD DE EL LINDERO AMEALCO DE BONFIL,AMEALCO,"LINDERO,  EL",,P.M. AMEALCO,P.M. AMEALCO,INFRAESTRUCTURA,3546,METROS CUADRADOS,OLVERA SAN JUAN ALBERTO,19/07/2019,19/11/2019,APROBADO,76,999872.87,ISN 2019,,0,0,08Q,999872.87,100,,0,0,,0,0,,,,999872.87,299961.86,,,,
469,,2019-00444,EMPEDRADO DE CAMINOS EN LA LOCALIDAD DE CHITEJÉ DEL GARABATO AMEALCO DE BONFIL ,AMEALCO,CHITEJE DE GARABATO,,P.M. AMEALCO,P.M. AMEALCO,INFRAESTRUCTURA,3204.4,METROS CUADRADOS,MARQUEZ DIAZ OLGA MARIA,19/07/2019,19/11/2019,APROBADO,25,990130.36,ISN 2019,,0,0,08Q,990130.36,100,,0,0,,0,0,,,,990130.36,297039.1,,,,
